Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
Stockton,Stockton,37.9763417,-121.3133043,675000,San Joaquin,San Joaquin County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,315
Unincorporated Contra Costa County,,,,,Contra Costa,Contra Costa County,County,Allowed,Limited,Allowed,Allowed,Limited,Allowed,"Retail (Non-storefront): Delivery by storefront only
Cultivation: Indoor only",Micro: Silent,2022-01-22,No,No,No,1,
Fort Bragg,Fort Bragg,39.4410694,-123.8036201,625058,Mendocino,Mendocino County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,7
Carpinteria,Carpinteria,34.3852905,-119.5008580,611446,Santa Barbara,Santa Barbara County,City,Prohibited,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,13
Cathedral City,Cathedral City,33.8354871,-116.4631031,612048,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,54
Capitola,Capitola,36.9760826,-121.9540120,611040,Santa Cruz,Santa Cruz County,City,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,10
Colfax,Colfax,39.0937989,-120.9532218,614498,Placer,Placer County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,2
Lynwood,Lynwood,33.9239617,-118.2016475,644574,Los Angeles,Los Angeles County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,72
Richmond,Richmond,37.9522779,-122.3606090,660620,Contra Costa,Contra Costa County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,110
Hayward,Hayward,37.6286591,-122.1024054,633000,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,162
Blythe,Blythe,33.6535839,-114.6217852,607218,Riverside,Riverside County,City,Limited,Prohibited,Allowed,Allowed,Allowed,Limited,"Retail (storefront): Limit 2 licensees
Testing: Limit 2 licensees
Microbusiness: Limit 2 licensees",Non-storefront: Silent,2022-01-22,No,No,,,19
